País,Área geográfica,Quintil,Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Nacional,Quintil 1,2002.0,26,"8620,7765",,5.2
América Latina (promedio simple),Nacional,Quintil 2,2002.0,26,"8620,7765",,4.7
América Latina (promedio simple),Nacional,Quintil 3,2002.0,26,"8620,7765",,4.3
América Latina (promedio simple),Nacional,Quintil 4,2002.0,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 5,2002.0,26,"8620,7765",,3.2
América Latina (promedio simple),Nacional,Total quintiles,2002.0,26,"8620,7765",,4.2
América Latina (promedio simple),Rural,Quintil 1,2002.0,26,"8620,10395",,5.6
América Latina (promedio simple),Rural,Quintil 2,2002.0,26,"8620,10395",,5.1
América Latina (promedio simple),Rural,Quintil 3,2002.0,26,"8620,10395",,4.7
América Latina (promedio simple),Rural,Quintil 4,2002.0,26,"8620,10395",,4.1
América Latina (promedio simple),Rural,Quintil 5,2002.0,26,"8620,10395",,3.4
América Latina (promedio simple),Rural,Total quintiles,2002.0,26,"8620,10395",,4.6
América Latina (promedio simple),Urbana,Quintil 1,2002.0,26,"8620,7765",,5.0
América Latina (promedio simple),Urbana,Quintil 2,2002.0,26,"8620,7765",,4.6
América Latina (promedio simple),Urbana,Quintil 3,2002.0,26,"8620,7765",,4.1
América Latina (promedio simple),Urbana,Quintil 4,2002.0,26,"8620,7765",,3.7
América Latina (promedio simple),Urbana,Quintil 5,2002.0,26,"8620,7765",,3.1
América Latina (promedio simple),Urbana,Total quintiles,2002.0,26,"8620,7765",,4.1
América Latina (promedio simple),Nacional,Quintil 1,2010.0,26,"8620,7765",,4.8
América Latina (promedio simple),Nacional,Quintil 2,2010.0,26,"8620,7765",,4.3
América Latina (promedio simple),Nacional,Quintil 3,2010.0,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 4,2010.0,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 5,2010.0,26,"8620,7765",,2.9
América Latina (promedio simple),Nacional,Total quintiles,2010.0,26,"8620,7765",,3.9
América Latina (promedio simple),Rural,Quintil 1,2010.0,26,"8620,7766",,5.1
América Latina (promedio simple),Rural,Quintil 2,2010.0,26,"8620,7766",,4.5
América Latina (promedio simple),Rural,Quintil 3,2010.0,26,"7766,8620",,4.1
América Latina (promedio simple),Rural,Quintil 4,2010.0,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 5,2010.0,26,"8620,7766",,3.0
América Latina (promedio simple),Rural,Total quintiles,2010.0,26,"8620,7766",,4.1
América Latina (promedio simple),Urbana,Quintil 1,2010.0,26,"8620,7765",,4.6
América Latina (promedio simple),Urbana,Quintil 2,2010.0,26,"8620,7765",,4.2
